רשות מקומית,סוג רשות,מחוז,דירוג,אוכלוסייה[1],דירוג.1,שטח שיפוט,דירוג.2,צפיפות[2],דירוג.3,מדד ג'יני[2],מדד חברתי-,דירוג.4,מספר יישובים
מועצה אזורית עמק המעיינות,מועצה אזורית,הצפון,139,"13,100",14,"250,430",238,52,163,0.3855,6,15,24
מועצה אזורית עמק חפר,מועצה אזורית,המרכז,46,"42,200",28,"127,940",194,330,32,0.4592,8,2,44
מועצה אזורית עמק יזרעאל,מועצה אזורית,הצפון,55,"38,000",11,"333,240",226,114,46,0.4496,8,3,38
מועצה אזורית עמק לוד,מועצה אזורית,המרכז,126,"15,000",62,"31,860",185,471,57,0.4392,6,41,9
מועצה אזורית ערבות הירדן,מועצה אזורית,יהודה ושומרון,223,"4,900",,,,,227,0.3567,6,23,20
מועצה אזורית רמת נגב,מועצה אזורית,הדרום,192,"7,600",1,"4,099,240",247,1.85,126,0.4009,6,35,13
מועצה אזורית שדות נגב,מועצה אזורית,הדרום,159,"10,300",31,"117,350",229,88,127,0.4005,5,27,16
מועצה אזורית שומרון,מועצה אזורית,יהודה ושומרון,48,"41,100",,,,,116,0.4076,6,11,28
מועצה אזורית שער הנגב,מועצה אזורית,הדרום,182,"8,000",20,"180,780",239,44,118,0.4068,7,39,12
מועצה אזורית שפיר,מועצה אזורית,הדרום,155,"11,000",39,"81,860",223,134,111,0.4109,4,29,14
מועצה אזורית תמר,מועצה אזורית,הדרום,254,"1,500",4,"1,343,070",249,1.12,235,0.3493,6,50,5
מזכרת בתיה,מועצה מקומית,המרכז,129,"14,680",160,"7,190",114,"1,975",54,0.441,8,,
מזרעה,מועצה מקומית,הצפון,233,"3,857",247,980,46,"3,878",219,0.3644,4,,
מטולה,מועצה מקומית,הצפון,252,"1,599",133,"9,340",214,171,13,0.478,8,,
מיתר,מועצה מקומית,הדרום,188,"8,438",54,"39,280",208,196,52,0.4428,8,,
מסעדה,מועצה מקומית,הצפון,234,"3,650",110,"12,090",198,298,66,0.4358,2,,
מעיליא,מועצה מקומית,הצפון,242,"3,255",239,"1,620",113,"1,975",140,0.3954,7,,
מעלה אדומים,עירייה,יהודה ושומרון,56,"38,193",50,"46,480",174,813,162,0.3857,6,,
מעלה אפרים,מועצה מקומית,יהודה ושומרון,255,"1,241",182,"5,600",204,214,251,0.3273,5,,
מעלה עירון,מועצה מקומית,חיפה,127,"14,833",176,"6,130",87,"2,382",193,0.3778,2,,
מעלות-תרשיחא,עירייה,הצפון,98,"21,422",135,"9,220",93,"2,310",187,0.3796,5,,
מצפה רמון,מועצה מקומית,הדרום,219,"5,221",40,"77,070",233,67,112,0.4101,3,,
משהד,מועצה מקומית,הצפון,180,"8,219",158,"7,240",162,"1,119",228,0.3563,2,,
נהרייה,עירייה,הצפון,31,"56,881",120,"11,140",29,"5,036",105,0.4123,6,,
נוף הגליל,עירייה,הצפון,51,"41,169",60,"33,020",152,"1,230",167,0.3848,5,,
נחף,מועצה מקומית,הצפון,145,"12,846",177,"6,110",107,"2,062",195,0.377,2,,
נס ציונה,עירייה,המרכז,38,"50,214",94,"15,730",66,"3,121",67,0.4356,8,,
נצרת,עירייה,הצפון,20,"77,064",102,"14,140",28,"5,417",154,0.3882,3,,
נשר,עירייה,חיפה,81,"23,983",107,"13,020",123,"1,820",76,0.4293,7,,
נתיבות,עירייה,הדרום,59,"35,631",126,"10,150",57,"3,330",156,0.3876,3,,
נתניה,עירייה,המרכז,7,"217,244",68,"29,040",18,"7,373",82,0.4252,6,,
סאג'ור,מועצה מקומית,הצפון,227,"4,209",215,"3,540",157,"1,158",158,0.3868,3,,
סביון,מועצה מקומית,המרכז,231,"3,968",213,"3,710",167,"1,051",2,0.5723,10,,
סח'נין,עירייה,הצפון,64,"31,057",129,"9,820",67,"3,106",147,0.392,3,,
ע'ג'ר,מועצה מקומית,הצפון,246,"2,607",228,"2,420",163,"1,074",190,0.3787,2,,
עומר,מועצה מקומית,הדרום,192,"7,586",84,"18,300",188,415,31,0.4619,9,,
עיילבון,מועצה מקומית,הצפון,217,"5,703",195,"4,830",156,"1,159",107,0.4118,5,,
עילוט,מועצה מקומית,הצפון,183,"8,192",220,"3,160",82,"2,500",229,0.3556,2,,
עין מאהל,מועצה מקומית,הצפון,143,"13,130",190,"5,200",83,"2,462",232,0.3533,2,,
עין קנייא,מועצה מקומית,הצפון,248,"2,063",183,"5,550",191,360,73,0.4305,2,,
עכו,עירייה,הצפון,39,"48,930",100,"14,260",55,"3,387",191,0.3785,4,,
עמנואל,מועצה מקומית,יהודה ושומרון,239,"3,693",191,"5,040",179,675,176,0.381,2,,
עספיא,מועצה מקומית,חיפה,147,"12,354",161,"7,150",134,"1,692",82,0.4252,4,,
עפולה,עירייה,הצפון,37,"51,737",67,"29,310",135,"1,679",144,0.3946,5,,
עראבה,עירייה,הצפון,78,"25,369",148,"8,250",68,"3,030",149,0.3913,2,,
ערד,עירייה,הדרום,75,"26,451",35,"102,610",202,249,89,0.4206,4,,
ערערה,מועצה מקומית,חיפה,79,"24,904",136,"9,130",79,"2,683",209,0.3703,3,,
ערערה-בנגב,מועצה מקומית,הדרום,119,"17,640",103,"13,970",153,"1,217",239,0.34700000000000003,1,,
פוריידיס,מועצה מקומית,חיפה,141,"13,085",208,"4,060",64,"3,177",250,0.3313,2,,
פסוטה,מועצה מקומית,הצפון,243,"3,149",121,"11,090",199,280,186,0.3797,6,,
פקיעין (בוקייעה),מועצה מקומית,הצפון,215,"5,815",181,"5,760",170,"1,007",138,0.3966,5,,
פרדס חנה-כרכור,מועצה מקומית,חיפה,48,"42,083",74,"22,520",122,"1,825",50,0.4445,7,,
פרדסיה,מועצה מקומית,המרכז,215,"5,830",243,"1,500",47,"3,867",24,0.4648,8,,
פתח תקווה,עירייה,המרכז,5,"244,275",58,"35,720",21,"6,730",90,0.4204,7,,
צפת,עירייה,הצפון,58,"35,715",65,"29,980",154,"1,177",85,0.4245,2,,
קדומים,מועצה מקומית,יהודה ושומרון,225,"4,596",231,"2,280",115,"1,974",77,0.4278,5,,
